"";"X";"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude"
"7576";7576;"especialista x intelectual nao e para download mas vale a leitura para refletir sobre o momento atual do brasil";FALSE;0;NA;"2017-05-22 17:36:42";FALSE;NA;866709418418872320;NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"AntonioWilliton";0;FALSE;FALSE;NA;NA
"7577";7577;"rt jornalextra mae e connada a pena maior que reus da lavajato por roubar ovos pascoa";FALSE;0;NA;"2017-05-22 17:36:41";FALSE;NA;866709414916632576;NA;"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>";"marcos_bezerra_";110;TRUE;FALSE;NA;NA
"7578";7578;"rt andrefran brasil crime ocorre nada acontece feijoada";FALSE;0;NA;"2017-05-22 17:36:41";FALSE;NA;866709414547517440;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"Robsondeaguiar";30;TRUE;FALSE;NA;NA
"7579";7579;"rt iloveputarias vamo transar ate o brasil melhorar";FALSE;0;NA;"2017-05-22 17:36:41";FALSE;NA;866709413691887616;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"guilherme123_gp";6639;TRUE;FALSE;NA;NA
"7580";7580;"rt ygorfremo primeira turma do curso ehferu041fagem com apenas 6 alunas se forma no brasil entenda";FALSE;0;NA;"2017-05-22 17:36:41";FALSE;NA;866709413150830592;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"LucioMMN";235;TRUE;FALSE;NA;NA
"7581";7581;"eu amo essa minina brasil";FALSE;0;NA;"2017-05-22 17:36:41";FALSE;NA;866709412190330880;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"nard_leao";0;FALSE;FALSE;NA;NA
"7582";7582;"rt elpaisbrasil o �govern� regional manteve em segredo uma lei que permite aos catalaes romper com a espanha";FALSE;0;NA;"2017-05-22 17:36:41";FALSE;NA;866709411687006208;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"tebetmarcia";8;TRUE;FALSE;NA;NA
"7583";7583;"rt micheltemer ai em pronunciamento presinte michel temer reafirma que segue no comando do brasil httpst�";FALSE;0;NA;"2017-05-22 17:36:39";FALSE;NA;866709407064875008;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"xelelete";150;TRUE;FALSE;NA;NA
"7584";7584;"rt carmeloneto alguem ve alguma banira do brasil e por isso que me recuso a me juntar com esse tipo gente que so pensa no pt htt�";FALSE;0;NA;"2017-05-22 17:36:39";FALSE;NA;866709405743624192;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"lilypb61";370;TRUE;FALSE;NA;NA
"7585";7585;"rt abraatiko pais em alerta presinte do stf pe apoio das forcas armadas nesse momento crise saiba via �";FALSE;0;NA;"2017-05-22 17:36:39";FALSE;NA;866709405299089408;NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"abraatiko";2;TRUE;FALSE;NA;NA
"7586";7586;"rt banilow se pedro alvares cabral scobriu o brasil eu scobri que te amo    te amo";FALSE;0;NA;"2017-05-22 17:36:39";FALSE;NA;866709405299036160;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"thainalrn";14;TRUE;FALSE;NA;NA
"7587";7587;"rt lipeosorio22 carmenluciapeintervencao somente as forcas armadas para volver a orm e o progresso ao brasil";FALSE;0;NA;"2017-05-22 17:36:38";FALSE;NA;866709400249147392;NA;"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>";"ValmirGuilherm1";8;TRUE;FALSE;NA;NA
"7588";7588;"rt jornalextra mae e connada a pena maior que reus da lavajato por roubar ovos pascoa";FALSE;0;NA;"2017-05-22 17:36:38";FALSE;NA;866709399729045504;NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"Victorbfr_";110;TRUE;FALSE;NA;NA
"7589";7589;" com uma mulher nova exploradora temer o brasil precisa um presinte que tema a us e ame a familia e minha opcao e doria2018";FALSE;0;NA;"2017-05-22 17:36:37";FALSE;NA;866709397485047808;NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"avivacampina";0;FALSE;FALSE;NA;NA
