data,IBOV,VALE3,PETR4,DOLAR
2021-01-04,118558.0,17.399999618530273,11.1899995803833,5.19189977645874
2021-01-05,119223.0,17.690000534057617,11.520000457763672,5.295300006866455
2021-01-06,119851.0,18.15999984741211,11.619999885559082,5.28410005569458
2021-01-07,121956.0,18.93000030517578,11.6899995803833,5.312900066375732
2021-01-08,125077.0,18.920000076293945,11.6899995803833,5.40880012512207
2021-01-11,122807.0,18.610000610351562,11.399999618530273,5.4121880531311035
2021-01-12,123998.0,18.709999084472656,11.720000267028809,5.48769998550415
2021-01-13,122040.0,18.149999618530273,11.210000038146973,5.321400165557861
2021-01-14,123481.0,18.940000534057617,11.529999732971191,5.297500133514404
2021-01-15,120502.0,17.639999389648438,10.899999618530273,5.195799827575684
2021-01-19,120673.0,17.610000610351562,10.880000114440918,5.2947998046875
2021-01-20,119708.0,17.450000762939453,10.829999923706055,5.3566999435424805
2021-01-21,118443.0,17.469999313354492,10.529999732971191,5.290500164031982
2021-01-22,117172.0,17.209999084472656,10.1899995803833,5.3495001792907715
2021-01-26,116464.0,17.170000076293945,10.350000381469727,5.4654998779296875
2021-01-27,115882.0,16.510000228881836,10.34000015258789,5.353799819946289
2021-01-28,119314.0,16.75,10.550000190734863,5.412600040435791
2021-01-29,116007.0,16.149999618530273,10.050000190734863,5.437989234924316
2021-02-01,117365.0,16.739999771118164,10.279999732971191,5.4608001708984375
2021-02-02,118234.0,16.3799991607666,10.829999923706055,5.430500030517578
2021-02-03,119725.0,16.889999389648438,10.949999809265137,5.3668999671936035
2021-02-04,119261.0,16.5,10.859999656677246,5.3520002365112305
2021-02-05,119925.0,17.260000228881836,11.069999694824219,5.4257001876831055
2021-02-08,119516.0,17.649999618530273,10.609999656677246,5.369200229644775
2021-02-09,119429.0,17.639999389648438,10.279999732971191,5.364299774169922
2021-02-10,118430.0,17.649999618530273,10.420000076293945,5.376699924468994
2021-02-11,119235.0,17.3700008392334,10.529999732971191,5.384900093078613
2021-02-12,119116.0,17.5,10.550000190734863,5.3653998374938965
2021-02-18,119140.0,17.979999542236328,10.819999694824219,5.409800052642822
2021-02-19,118748.0,18.219999313354492,10.050000190734863,5.42579984664917
2021-02-22,112668.0,17.530000686645508,7.940000057220459,5.38070011138916
2021-02-23,115227.0,17.899999618530273,8.470000267028809,5.463399887084961
2021-02-24,115668.0,18.049999237060547,8.720000267028809,5.439599990844727
2021-02-25,112256.0,17.399999618530273,8.270000457763672,5.402964115142822
2021-02-26,110035.0,16.899999618530273,7.929999828338623,5.528025150299072
2021-03-01,110335.0,17.530000686645508,7.809999942779541,5.597599983215332
